prefab,game_object,psys_id,duration,looping,emit_rate,lifetime,speed,size,gravity,shape,shape_type,shape_radius,shape_angle,color_over_lifetime,size_over_lifetime,velocity_over_lifetime,rotation_over_lifetime,texture_sheet,materials,textures,voxen_texture_indices,renderer_mode,renderer_length_scale,trail_lifetime,trail_width,features,unsupported
Assets/Resources/Prefabs/ef_particle_blasterhit.prefab,CenterSpatter,4458958780830340745,1.2,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.5019608,0.19215685,0.19215685,1);a0:1;c1:(0.27058828,0.08627452,0.08627452,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_blasterhit.prefab,CenterSpatter2,5158801799055542670,1.2,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.28627455,0.105882354,0.105882354,1);a0:1;c1:(0.08627451,0.27058825,0.27058825,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_blasterhit.prefab,BlueSparksSmall,3394684997602654176,1,0,0,0.3..0.5,6,0.02,1,sphere,1,0.01,25,"c0:(1,0.20588237,0.20588237,1);a0:1;c0.47353:(1,0.46323532,0.46323532,1);a0.61471:1;c1:(0.7941176,0.3795415,0.662597,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.05..0.1,1,"shape:sphere,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_blasterhit.prefab,ef_particle_blasterhit,304096618670633187,1.2,0,0,0.4,0,0.5,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c1:(0.9191176,0.14868078,0.14868078,0.3529412);a1:0.3529412",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_bloodspurtsmall.prefab,ef_particle_bloodspurtsmall,198794252283396384,0.9,0,0,0.75..0.8,2..3,0.2,0.5,cone,2,0.01,10,"c0:(0.53676474,0.0946143,0.019733984,1);a0:1;c1:(0.3455882,0.033034157,0.033034157,0.8156863);a0.65:0.8156863;a1:0",off,off,off,off,ef_particlesteam|ef_particlespray,ParticleCloudWhite.png|ParticleCloudWhite.png,583|583,0,2,0.75,1,"shape:cone,trail",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_bloodspurtsmallgreen.prefab,ef_particle_bloodspurttiny,198201923936093766,1,0,0,0.6..0.6,2.5..3.5,0.1,0.5,cone,2,0.01,10,"c0:(0.53676474,0.30855805,0.019733952,1);a0:1;c1:(0.3455882,0.29816622,0.03303414,1);a0.86471:1;a1:0",off,off,off,off,ef_particlesteam|ef_particlespray,ParticleCloudWhite.png|ParticleCloudWhite.png,583|583,0,2,0.6..0.6,1,"shape:cone,trail",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_bloodspurtsmallgreen.prefab,ef_particle_bloodspurtsmallgreen,198386675763137310,1,0,0,0.6..0.6,2..3,0.2,0.5,cone,2,0.01,10,"c0:(0.2729008,0.53676474,0.019733952,1);a0:1;c0.98824:(0.22487769,0.3455882,0.03303414,0.8156863);a0.65:0.8156863;a1:0",off,off,off,off,ef_particlesteam|ef_particlespray,ParticleCloudWhite.png|ParticleCloudWhite.png,583|583,0,2,0.6..0.6,1,"shape:cone,trail",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_bloodspurtsmallyellow.prefab,ef_particle_bloodspurtsmallyellow,198628509457863252,1,0,0,0.6..0.6,2..3,0.2,0.5,cone,2,0.01,10,"c0:(0.5296333,0.53676474,0.019733952,1);a0:1;c1:(0.32834384,0.3455882,0.03303414,0.8156863);a0.65:0.8156863;a1:0",off,off,off,off,ef_particlesteam|ef_particlespray,ParticleCloudWhite.png|ParticleCloudWhite.png,583|583,0,2,0.6..0.6,1,"shape:cone,trail",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_bloodspurttiny.prefab,ef_particle_bloodspurttiny,198794252283396384,0.7,0,0,0.6..0.6,2..3,0.1,0.5,cone,2,0.01,10,"c0:(0.53676474,0.0946143,0.019733984,1);a0:1;c1:(0.3455882,0.033034157,0.033034157,0.8156863);a0.65:0.8156863;a1:0",off,off,off,off,ef_particlesteam|ef_particlespray,ParticleCloudWhite.png|ParticleCloudWhite.png,583|583,0,2,0.6..0.6,1,"shape:cone,trail",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_camerahit.prefab,Bits,198652118875159694,0.8,1,0,0.2,0.5,0.05,0,sphere,1,0.3,25,"c0:(0.6901961,0.9137255,1,1);a0:1;c1:(0.28235295,0.6392157,0.8901961,1);a1:1",off,off,off,off,ef_camerabits,BurstTiny.png,69,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_camerahit.prefab,CenterSpatter,198961514812155098,0.8,1,0,0.6,0,1.5,0,point,0,1,25,"c0:(0.41568628,0,0.5647059,1);a0:1;c1:(0.12156863,0.003921569,0.36862746,0);a0.82942:0",curve[0:0;1:0.72131],off,off,off,ef_cameraspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_camerahit.prefab,DarkBurst,198464324987250504,0.8,1,0,0.6,0,3,0,point,0,1,25,"c0:(0.10980392,0.08235294,0.44313726,1);a0:1;c1:(0.003921569,0.09803922,0.36862746,0);a0.82942:0",off,off,off,off,ef_cameraburst,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_camerahit.prefab,ef_particle_camerahit,198318421433432668,0.8,0,0,0.6,0,1.5,0,point,0,1,25,"c0:(0.85882354,0.654902,0.88235295,1);a0:1;c1:(0.19607843,0.15294118,0.20784314,1);a1:1",curve[0:0;0.99479:0.34016],off,off,off,ef_cameraburst,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_camerahit.prefab,CenterSpatter2,198675762711522440,0.8,1,0,0.6,0,1.5,0,point,0,1,25,"c0:(0.2,0.11372549,0.5372549,1);a0:1;c1:(0.12156863,0.003921569,0.36862746,0);a0.82942:0",curve[0:0;1:1],off,off,off,ef_cameraspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_darthit.prefab,ef_particle_darthit,19844794,1.25,0,0,0.3..0.5,1..2,0.08..0.08,1.2,sphere,1,0.01,25,off,off,off,off,off,ef_darthit,darthit.png,158,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_ionhit.prefab,Shockwave,7929203039846650269,1.2,0,0,0.8,0,1.2,0,point,0,1,25,"c0:(0.9409331,1,0.38823533,1);a0:1;c0.52059:(0.38823533,0.38174444,0.15294118,0);a1:0",curve[0:0.081967;0.47415:0.7996;1:1],off,off,off,ef_sparqshockwave,Sparqwave.png,820,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_ionhit.prefab,CenterSpatter,2622451755197069893,1.2,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.48486817,0.5019608,0.19215685,1);a0:1;c1:(0.27058828,0.24262343,0.08627452,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_ionhit.prefab,ef_particle_ionhit,1091671980559344748,1.2,0,0,0.4,0,0.5,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c1:(0.84473056,0.9191176,0.14868078,0.3529412);a1:0.3529412",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_ionhit.prefab,BlueSparksSmall,5032515058753420791,1,0,0,0.3..0.5,6,0.02,1,sphere,1,0.01,25,"c0:(0.9561867,1,0.20588237,1);a0:1;c0.47353:(0.88154167,1,0.46323532,1);a0.61471:1;c1:(0.7941176,0.73121643,0.3795415,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.05..0.1,1,"shape:sphere,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_ionhit.prefab,CenterSpatter2,8002476519720777860,1.2,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.28627455,0.2589047,0.105882354,1);a0:1;c1:(0.27058828,0.24262343,0.08627452,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2muzburst.prefab,particle_sec2muzburst3,198090764381691176,1.5,1,0,0.5,0,0.6,0,point,0,1,25,"c0.28235:(1,0.91764706,0.69803923,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botmuzzleburst3,Sec2MuzzleBurst3.png,794,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2muzburst.prefab,ef_particle_sec2muzburst,198177235194972012,1.5,1,0,0.5,0,0.6,0,point,0,1,25,"c0.28235:(1,0.91764706,0.69803923,1);a0:1;c1:(0.39215687,0.39215687,0.38431373,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botmuzzleburst1,Sec2MuzzleBurst1.png,792,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2muzburst.prefab,particle_sec2muzburst2,198667072062752396,1.5,1,0,0.5,0,0.6,0,point,0,1,25,"c0.28235:(1,0.77254903,0.5294118,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botmuzzleburst2,Sec2MuzzleBurst2.png,793,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2muzburst.prefab,particle_sec2muzburst4,198259341989133272,1.5,1,0,0.5,0,0.6,0,point,0,1,25,"c0.28235:(1,0.77254903,0.5294118,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botmuzzleburst4,Sec2MuzzleBurst4.png,795,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2rotmuzburst.prefab,ef_particle_sec2rotmuzburst,198787602921667550,1.5,1,0,0.5,0,0.6,0,point,0,1,25,"c0.28235:(1,1,1,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.86885;1:0.5041],off,off,off,ef_sec2botrotarybuzzleburst,Sec2RotaryMuzzleBurst.png,796,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sec2rotmuzburst.prefab,FlashSquint,198077441759696634,1.5,1,0,0.5,0,2,0,point,0,0.15,25,"c0:(0.62352943,0.5686275,0.4862745,1);a0:1;c0.39118:(1,0.57254905,0.11764706,1);a0.76765:1;c1:(0.21960784,0.050980393,0,0.37254903);a1:0.37254903",curve[0:0;0.9974:0.89754],off,off,off,ef_sec2botrotarymuzzlesquint,Sec2RotaryMuzzleSquint.png,797,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sparkssmall.prefab,ef_particle_sparkssmall,198213875044575830,0.6,0,0,0.3..0.5,2..5,0.01,0,cone,2,0.01,20,"c0:(1,0.99036515,0.8602941,1);a0:1;c0.47353:(1,0.829716,0.46323532,1);a0.61471:1;c1:(0.7941176,0.3795415,0.3795415,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.08..0.15,1,"shape:cone,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_sparkssmall.prefab,centerburst,198971156578959676,1,1,0,0.2,0,0.6,0,point,0,1,25,"c0:(1,1,0.89954585,1);a0:1;c1:(0.8161765,0.736711,0.63613755,1);a0.86471:1;a1:0",curve[0:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,separate color/alpha key timing
Assets/Resources/Prefabs/ef_particle_sparkssmallblue.prefab,ef_particle_sparkssmallblue,198603447508477536,0.6,0,0,0.3..0.5,3..6,0.01,0,cone,2,0.01,25,"c0:(0.8602941,0.9710953,1,1);a0:1;c0.47353:(0.46323532,0.8445233,1,1);a0.61471:1;c1:(0.3795415,0.468175,0.7941176,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.08..0.15,1,"shape:cone,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_sparkssmallblue.prefab,centerburst,198015323528487626,1,0,0,0.1..0.15,5,0.1,0,cone,2,0.01,12,"c0:(1,1,1,1);a0:1;c0.47353:(1,0.829716,0.46323532,1);a0.61471:1;c1:(0.7941176,0.3795415,0.3795415,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.8..0.8,1,"shape:cone,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_sparqhit.prefab,ef_particle_sparqhit,198258994390394298,1.1,0,0,0.4,0,0.5,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c1:(0.36078432,1,1,0.3529412);a1:0.3529412",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sparqhit.prefab,CenterSpatter2,8836542823619245298,1.1,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.105882354,0.28627452,0.28627452,1);a0:1;c1:(0.08627451,0.27058825,0.27058825,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sparqhit.prefab,BlueSparksSmall,2255367191426240840,1,0,0,0.3..0.5,6,0.02,1,sphere,1,0.01,25,"c0:(0.20588237,0.8028398,1,1);a0:1;c0.47353:(0.46323532,0.7556794,1,1);a0.61471:1;c1:(0.428147,0.3795415,0.7941176,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.05..0.1,1,"shape:sphere,trail",shape distribution/rotation
Assets/Resources/Prefabs/ef_particle_sparqhit.prefab,CenterSpatter,4635825474031160052,1.1,0,0,0.4,0,0.65,0,point,0,1,25,"c0:(0.19215687,0.5019608,0.5019608,1);a0:1;c1:(0.08627451,0.27058825,0.27058825,0);a0.77353:0",curve[0:0;1:1],off,off,off,ef_sparqspatter,SparqSpatter.png,?,0,2,off,off,,
Assets/Resources/Prefabs/ef_particle_sparqhit.prefab,Shockwave,7173158211793485891,1.1,0,0,0.8,0,1.2,0,point,0,1,25,"c0:(0.3882353,1,1,1);a0:1;c0.52059:(0.15294118,0.3882353,0.3882353,0);a1:0",curve[0:0.081967;0.47415:0.7996;1:1],off,off,off,ef_sparqshockwave,Sparqwave.png,820,0,2,off,off,,
Assets/Resources/Prefabs/ef_sparkspits.prefab,ef_sparkspits,19815620,1,1,0,0.5,8,0.04,0,sphere,1,0.2,25,"c0:(1,0.9764706,0.93333334,1);a0:1;c0.48824:(1,0.49411765,0,1);a0.48824:1;c1:(0.16862746,0,0,1);a1:1",curve[0:1;1:0.42857],off,off,off,ef_onepixel,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/ef_spraydrips.prefab,ef_spraydrips,312576532912274635,5,1,10,4.5,0.2..0.5,1,0.1,cone,2,0.01,10,"c0:(1,1,1,0.49803922);a0:0.49803922;c0.48824:(1,1,1,0.4117647);a0.48824:0.4117647;c1:(0.6037736,0.6037736,0.6037736,0);a1:0",curve[0:0;1:0.53846],off,off,off,ef_particlesplashes,SplashesFineParticle.png,821,0,2,off,off,shape:cone,shape distribution/rotation; Unity sub-emitters
Assets/Resources/Prefabs/ef_spraydrips.prefab,subparticles,5912356708373806364,1,0,0,1,0..0,1.5,0.1,point(unity:10),0,0.04,10,"c0:(1,1,1,0.25882354);a0:0.25882354;c0.48824:(1,1,1,0.22352941);a0.48824:0.22352941;c1:(0.6037736,0.6037736,0.6037736,0);a1:0",curve[0:0;1:0.72308],off,off,off,ef_particlesplashes,SplashesFineParticle.png,821,0,2,off,off,shape:point(unity:10),shape distribution/rotation; unsupported Unity shape type 10
Assets/Resources/Prefabs/ef_steam.prefab,ef_steam,4207294521709156471,5,1,60,2,1..2,1,0,cone,2,0.01,10,"c0:(1,1,1,0.49803922);a0:0.49803922;c0.48824:(1,1,1,0.22352941);a0.48824:0.22352941;c1:(0.6037736,0.6037736,0.6037736,0);a1:0",curve[0:0;1:1],off,off,off,ef_particlesmokevertlit,ParticleCloudWhite.png,583,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/env_sparkssmall.prefab,env_sparkssmall,5488384945965640734,5,1,0,0.3..0.5,2..5,0.01,1,cone,2,0.01,20,"c0:(1,0.99036515,0.8602941,1);a0:1;c0.47353:(1,0.829716,0.46323532,1);a0.61471:1;c1:(0.7941176,0.3795415,0.3795415,0);a1:0",off,off,off,off,ef_particleglow|ef_particlespark,Burst.png|Spark.png,67|817,0,2,0.08..0.15,1,"shape:cone,trail",shape distribution/rotation
Assets/Resources/Prefabs/npc_autobomb.prefab,smokesmushroom,3708649147207360355,30,0,0,10,0.25..0.4,0.1,0,cone,2,0.4,15,"c0:(1,1,1,1);a0:1;c1:(1,1,1,1);a0.34118:1;a0.99413:0",curve[0:0;0.98907:12],off,off,off,ef_particlesmokeblack,ParticleCloudBlack.png,582,0,2,off,off,shape:cone,shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/npc_autobomb.prefab,smokescorching,6229276641032155532,10,0,40,3,0.1..0.15,0.05,-0.1,point(unity:10),0,0.01,1,"c0:(1,1,1,0.7411765);a0.002945:0.7411765;c1:(1,1,1,0.67058825);a0.39706:0.67058825;a0.99413:0",curve[0:4.1081;1:8],off,off,off,ef_particlesmokeblack,ParticleCloudBlack.png,582,0,2,off,off,shape:point(unity:10),shape distribution/rotation; unsupported Unity shape type 10; separate color/alpha key timing
Assets/Resources/Prefabs/npc_autobomb.prefab,CentralFireball,9088118466934791900,1.25,0,0,0.5..0.8,2..5,15..20,1,sphere,1,0.01,25,"c0:(1,1,1,0.77254903);a0:0.77254903;c1:(1,1,1,0.93333334);a0.044114:0.93333334;a0.48824:0.41960785;a1:0",curve[0:0;0.50132:0.28037;0.70887:0.23836;0.87693:0.058407;1:0],off,1,tiles=1x4 frame=curve[0:0;1:0.9999],ef_fireball,explosion1.psd,2046|2047|2048|2049,0,2,off,off,"shape:sphere,flipbook:1x4",shape distribution/rotation; separate color/alpha key timing
Assets/Resources/Prefabs/npc_autobomb.prefab,FireSpits,5200246763344841704,1.25,0,0,0.5..0.8,5..8,0.2..0.6,-2,sphere,1,0.01,25,off,curve[0:0;0.50132:0.28037;0.70887:0.23836;0.87693:0.058407;1:0],off,1,off,ef_firespit,explosion1_firespit.png,2050,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_autobomb.prefab,smokescorchingsmall,7159911065422997374,1,0,0,0.3,6..8,0.15,0,cone,2,0.0001,90,"c0:(1,1,1,0.7411765);a0:0.7411765;c1:(1,1,1,0);a0.99413:0",curve[0:0;1:8],off,off,off,ef_particlesmokeblack,ParticleCloudBlack.png,582,0,2,off,off,shape:cone,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (2),7285962739590562823,1,0,0,0.3,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash,7689451295358286603,1,0,0,0.3,0,1.5,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.59612;0.25484:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,deathSubBurst,5148665999412774795,1,0,0,0.4,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (2),1778295996222112476,1,0,0,0.3,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (1),1443031319027956501,1,0,0,0.3,0,0.75,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,deathSubBurst (2),6380535870191838320,1,0,0,0.4,3,0.02,0,sphere,1,0.2,25,off,off,off,off,off,ef_onepixelgreen,onepixel.png,579,0,2,off,off,shape:sphere,shape distribution/rotation
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,muzzleBurst (1),6055504787335036264,1,0,0,0.6,0,1.2,0,point,0,1,25,"c0:(1,1,1,1);a0:1;c0.50294:(0.1484375,0,1,1);a1:1;c1:(0.15217781,0,1,0)",curve[0:1;0.3123:1;1:0.28181],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,separate color/alpha key timing
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash (1),3935664275979008750,1,0,0,0.3,0,0.75,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",off,off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
Assets/Resources/Prefabs/npc_cortex_reaver.prefab,centerFlash,3383593518814031309,1,0,0,0.3,0,2,0,point,0,1,25,"c0.3147:(0.8093485,1,0.56078434,1);a0:1;c1:(0.38431373,0.39215687,0.39215687,1);a1:1",curve[0:0.59612;0.25484:1;1:0],off,off,off,ef_particleafterburner,Burst.png,67,0,2,off,off,,
