# sprite/texture cross-ref: Unity asset -> Voxen Data/textures.txt index
# format: voxen_index | unity_path | voxen_path | use_count

?      | Textures/UI/puzzle/node_off.png                                        | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/node_source.png                                     | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/puzzlesliderwire.png                                | UNMAPPED                                           | 4
?      | Textures/UI/puzzle/wire_center.png                                     | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/wire_levelsbox.png                                  | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/wire_levelstargetline.png                           | UNMAPPED                                           | 2
?      | Textures/UI/puzzle/wire_node.png                                       | UNMAPPED                                           | 28
?      | Textures/UI/sightDimming.png                                           | UNMAPPED                                           | 1
?      | Textures/UI/teleportstatic_red.png                                     | UNMAPPED                                           | 1
?      | Textures/UI/teleportstatic_white.png                                   | UNMAPPED                                           | 1
?      | Videos/VideoDisplayRT.renderTexture                                    | UNMAPPED                                           | 9
