constIndex:135|lP.x:-40.34|lP.y:34.935|lP.z:4.2116|lR.x:0|lR.y:.92388|lR.z:.38268|lR.w:0|lS.x:1|lS.y:1|lS.z:1.41422
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-43.5233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-40.9633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-46.0833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:28.78|lP.y:33.92|lP.z:-58.8833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:31.34|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:33.9|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:36.46|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:39.02|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:41.58|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:46.7|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:46.7|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:46.7|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:49.26|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:49.26|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:49.26|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:54.38|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:54.38|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:54.38|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:56.94|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:56.94|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:56.94|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:59.5|lP.y:33.92|lP.z:-53.7633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:59.5|lP.y:33.92|lP.z:-51.2033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:59.5|lP.y:33.92|lP.z:-56.3233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:82.54|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:82.54|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:82.54|lP.y:33.92|lP.z:-33.2833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:-1.94|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:.62|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:70|lP.x:3.18|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:-4.5|lP.y:33.28|lP.z:-30.7233|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:-4.5|lP.y:35.84|lP.z:-25.6033|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:-4.5|lP.y:33.28|lP.z:-25.6033|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:-4.5|lP.y:35.84|lP.z:-30.7233|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-23.0433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-9.62|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-12.18|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-14.74|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-17.3|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-19.86|lP.y:33.92|lP.z:-20.4833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-19.86|lP.y:33.92|lP.z:-23.0433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-17.3|lP.y:33.92|lP.z:-23.0433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-22.42|lP.y:33.92|lP.z:-23.0433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-19.86|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-22.42|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-24.98|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-27.54|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-30.1|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-32.66|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-35.22|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-37.77999|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-40.34|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-42.9|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-45.46|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-48.02|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-50.57999|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-53.14|lP.y:33.92|lP.z:-25.6033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-53.14|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-53.14|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-53.14|lP.y:34.24|lP.z:-33.2833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-58.25999|lP.y:33.92|lP.z:-30.7233|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-58.25999|lP.y:33.92|lP.z:-28.1633|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-33.2833|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-35.8433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-4.5|lP.y:33.92|lP.z:-35.8433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-1.94|lP.y:33.92|lP.z:-35.8433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-1.94|lP.y:33.92|lP.z:-38.4033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:.62|lP.y:33.92|lP.z:-38.4033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:.62|lP.y:33.92|lP.z:-35.8433|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-2.6184|lP.y:34.525|lP.z:-30.7233|lR.x:.96125|lR.y:.27568|lR.z:0|lR.w:0|lS.x:1.17925|lS.y:1|lS.z:1
constIndex:282|lP.x:-2.6184|lP.y:34.525|lP.z:-25.6033|lR.x:.96125|lR.y:.27568|lR.z:0|lR.w:0|lS.x:1.17925|lS.y:1|lS.z:1
constIndex:281|lP.x:.62|lP.y:33.28|lP.z:-28.1633|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:.62|lP.y:35.84|lP.z:-28.1633|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:.62|lP.y:33.28|lP.z:-28.1633|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:281|lP.x:.62|lP.y:35.84|lP.z:-28.1633|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-7.06|lP.y:33.28|lP.z:-35.8433|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-7.06|lP.y:33.28|lP.z:-35.8433|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-7.06|lP.y:33.28|lP.z:-33.2833|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-7.06|lP.y:33.28|lP.z:-33.2833|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-4.5|lP.y:33.28|lP.z:-35.8433|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:280|lP.x:-4.5|lP.y:33.28|lP.z:-35.8433|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:-1.94|lP.y:33.92|lP.z:-35.8433|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:.62|lP.y:33.92|lP.z:-35.8433|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:.62|lP.y:33.92|lP.z:-35.8433|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:3.18|lP.y:33.92|lP.z:-38.4033|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:.62|lP.y:33.92|lP.z:-38.4033|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:-1.94|lP.y:33.92|lP.z:-38.4033|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:3.18|lP.y:33.92|lP.z:-38.4033|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:270|lP.x:3.18|lP.y:33.92|lP.z:-38.4033|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:305|lP.x:3.18|lP.y:33.92|lP.z:-38.4033|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:305|lP.x:3.18|lP.y:33.92|lP.z:-38.4033|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-33.2833|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-7.06|lP.y:33.92|lP.z:-35.8433|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:-4.5|lP.y:33.92|lP.z:-35.8433|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
