constIndex:46|lP.x:38.0611|lP.y:47.735|lP.z:-17.1094|lR.x:-.38261|lR.y:0|lR.z:0|lR.w:.92391|lS.x:1|lS.y:1|lS.z:1.41422
constIndex:41|lP.x:17.5811|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.5811|lP.y:53.76|lP.z:-15.4544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.5811|lP.y:53.76|lP.z:-18.0144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.5811|lP.y:53.76|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1411|lP.y:53.76|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7011|lP.y:53.76|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2611|lP.y:53.76|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2611|lP.y:53.76|lP.z:-23.1344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7011|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2611|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2611|lP.y:53.76|lP.z:-15.4544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:30.3811|lP.y:53.76|lP.z:-15.4544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:32.9411|lP.y:53.76|lP.z:-15.4544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:32.9411|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:32.9411|lP.y:53.76|lP.z:-10.3344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:-7.7744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:-10.3344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.7811|lP.y:53.76|lP.z:-12.8944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:-2.6544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:-.0944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:53.76|lP.z:2.4656|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3389|lP.y:53.76|lP.z:2.4656|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.7811|lP.y:53.76|lP.z:2.4656|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:46.08|lP.z:2.4656|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:46.08|lP.z:-.0944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:46.08|lP.z:5.0256|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-10.5789|lP.y:46.08|lP.z:5.0256|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-10.5789|lP.y:46.08|lP.z:2.4656|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-10.5789|lP.y:46.08|lP.z:7.5856|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-13.1389|lP.y:46.08|lP.z:7.5856|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-13.1389|lP.y:46.08|lP.z:5.0256|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-13.1389|lP.y:47.36|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-28.4989|lP.y:47.36|lP.z:-5.2144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-28.4989|lP.y:47.36|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-13.1389|lP.y:47.36|lP.z:-20.5744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-20.8189|lP.y:48.64|lP.z:-23.1344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-20.8189|lP.y:48.64|lP.z:-25.6944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-20.8189|lP.y:48.64|lP.z:-28.2544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-20.8189|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-18.2589|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-15.6989|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-13.1389|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-10.5789|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:46.08|lP.z:-41.0544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:46.08|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:46.08|lP.z:-46.1744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:46.08|lP.z:-48.7344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3389|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.7811|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8989|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9011|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4611|lP.y:48.96|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-48.7344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-46.1744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-43.6144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-41.0544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-38.4944|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-35.9344|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-30.8144|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3411|lP.y:46.08|lP.z:-28.2544|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9011|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4611|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.7811|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:2.2211|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3389|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-5.4589|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-8.0189|lP.y:48.96|lP.z:-33.3744|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:46|lP.x:9.9011|lP.y:53.76|lP.z:-7.7744|lR.x:0|lR.y:0|lR.z:0|lR.w:1|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:9.9011|lP.y:53.76|lP.z:-7.7744|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:9.9011|lP.y:53.76|lP.z:-2.6544|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:53.76|lP.z:-.0944|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:53.76|lP.z:-10.3344|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-10.3344|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-10.3344|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-7.7744|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-7.7744|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-5.2144|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-5.2144|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-2.6544|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-2.6544|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:53.76|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:4.7811|lP.y:48.64|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:4.7811|lP.y:51.2|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:2.2211|lP.y:51.2|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:2.2211|lP.y:48.64|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:51.2|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:48.64|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:53.76|lP.z:-.0944|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-.0944|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-.0944|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:53.76|lP.z:-.0944|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:53.76|lP.z:-10.3344|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-10.3344|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-10.3344|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-7.7744|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-7.7744|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-5.2144|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-5.2144|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-2.6544|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-2.6544|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-.0944|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-.0944|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:53.76|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-5.4589|lP.y:53.76|lP.z:-7.7744|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:51.2|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:4.7811|lP.y:48.64|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:4.7811|lP.y:51.2|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:2.2211|lP.y:51.2|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:2.2211|lP.y:48.64|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:51.2|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:48.64|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:51.2|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:48.64|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-2.8989|lP.y:53.76|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:7.3411|lP.y:48.64|lP.z:-10.3344|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:4.7811|lP.y:53.76|lP.z:-12.8944|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-5.4589|lP.y:53.76|lP.z:-7.7744|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:53.76|lP.z:2.4656|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:30|lP.x:-.3389|lP.y:53.76|lP.z:2.4656|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:39|lP.x:-.3389|lP.y:53.76|lP.z:-5.2144|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:39|lP.x:4.7811|lP.y:53.76|lP.z:-5.2144|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:39|lP.x:2.2211|lP.y:53.76|lP.z:-2.6544|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
