constIndex:144|lP.x:39.7511|lP.y:107.882|lP.z:-56.2306|lR.x:.92388|lR.y:.38268|lR.z:0|lR.w:0|lS.x:1.415|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-2.4706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-2.4706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4961|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9361|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3761|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9361|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3761|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4961|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2961|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:30.4161|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:27.8561|lP.y:109.5369|lP.z:2.6494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:30.4161|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:27.8561|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:32.9761|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:30.4161|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:30.4161|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:27.8561|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:27.8561|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2961|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-25.5106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-25.5106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:4.8161|lP.y:109.5369|lP.z:.0894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-22.9506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-22.9506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-20.3906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-20.3906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:25.2961|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:22.7361|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:20.1761|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:17.6161|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:15.0561|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:12.4961|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9361|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:9.9361|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3761|lP.y:109.5369|lP.z:-28.0706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:7.3761|lP.y:109.5369|lP.z:-30.6306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3039|lP.y:106.9769|lP.z:10.3294|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8639|lP.y:106.9769|lP.z:10.3294|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3039|lP.y:106.9769|lP.z:12.8894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8639|lP.y:106.9769|lP.z:12.8894|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-.3039|lP.y:106.9769|lP.z:15.4494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:41|lP.x:-2.8639|lP.y:106.9769|lP.z:15.4494|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:15.0561|lP.y:106.9769|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:12.4961|lP.y:106.9769|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:9.9361|lP.y:106.9769|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:7.3761|lP.y:106.9769|lP.z:-7.5906|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:7.3761|lP.y:106.9769|lP.z:-10.1506|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:7.3761|lP.y:106.9769|lP.z:-12.7106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:7.3761|lP.y:106.9769|lP.z:-15.2706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:7.3761|lP.y:106.9769|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:4.8161|lP.y:106.9769|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:2.2561|lP.y:106.9769|lP.z:-17.8306|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:2.2561|lP.y:106.9769|lP.z:-15.2706|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:2.2561|lP.y:106.9769|lP.z:-12.7106|lR.x:1|lR.y:0|lR.z:0|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:12|lP.x:2.2561|lP.y:107.257|lP.z:-10.461|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:2.2561|lP.y:107.8969|lP.z:-7.9006|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:2.2561|lP.y:108.5369|lP.z:-5.3406|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:2.2561|lP.y:109.1769|lP.z:-2.7806|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:4.8161|lP.y:107.8969|lP.z:-7.9006|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:4.8161|lP.y:108.5369|lP.z:-5.3406|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:4.8161|lP.y:109.1769|lP.z:-2.7806|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:12|lP.x:7.3761|lP.y:109.1769|lP.z:-2.7806|lR.x:.99251|lR.y:0|lR.z:0|lR.w:.12218|lS.x:1|lS.y:1|lS.z:1.04
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:4.8161|lP.y:106.9769|lP.z:-5.0306|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:4.8161|lP.y:109.5369|lP.z:-5.0306|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:12.4961|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:12.4961|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:112.0969|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:12.4961|lP.y:112.0969|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:112.0969|lP.z:-7.5906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:106.9769|lP.z:-7.5906|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:106.9769|lP.z:-7.5906|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:12.4961|lP.y:106.9769|lP.z:-7.5906|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:283|lP.x:12.4961|lP.y:109.5369|lP.z:-7.5906|lR.x:0|lR.y:-.7071|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:283|lP.x:9.9361|lP.y:106.9769|lP.z:-7.5906|lR.x:0|lR.y:-.7071|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:283|lP.x:9.9361|lP.y:106.9769|lP.z:-20.3906|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:283|lP.x:12.4961|lP.y:109.5369|lP.z:-20.3906|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:12.4961|lP.y:106.9769|lP.z:-20.3906|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.031|lP.y:107.882|lP.z:-10.1506|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:9.031|lP.y:107.882|lP.z:-12.7106|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:9.031|lP.y:107.882|lP.z:-15.2706|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:9.031|lP.y:107.882|lP.z:-17.8306|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:11.5861|lP.y:110.437|lP.z:-12.7106|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:11.5861|lP.y:110.437|lP.z:-15.2706|lR.x:.65331|lR.y:.27061|lR.z:-.65323|lR.w:.27061|lS.x:1|lS.y:1|lS.z:1.415
constIndex:280|lP.x:11.5861|lP.y:110.437|lP.z:-10.1506|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:280|lP.x:11.5861|lP.y:110.437|lP.z:-17.8306|lR.x:.65328|lR.y:.2706|lR.z:.65328|lR.w:-.2706|lS.x:1|lS.y:1|lS.z:1.415
constIndex:282|lP.x:15.0561|lP.y:109.5369|lP.z:-12.7106|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:15.0561|lP.y:109.5369|lP.z:-15.2706|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:13|lP.x:22.7361|lP.y:109.5369|lP.z:-17.8306|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:22.7361|lP.y:109.5369|lP.z:-12.7106|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:22.7361|lP.y:109.5369|lP.z:-15.2706|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:15.0561|lP.y:109.5369|lP.z:-12.7106|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:15.0561|lP.y:109.5369|lP.z:-15.2706|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:15.0561|lP.y:112.0969|lP.z:-15.2706|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:15.0561|lP.y:112.0969|lP.z:-12.7106|lR.x:.5|lR.y:.5|lR.z:.5|lR.w:-.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:22.7361|lP.y:109.5369|lP.z:-15.2706|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:22.7361|lP.y:109.5369|lP.z:-12.7106|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:22.7361|lP.y:112.0969|lP.z:-15.2706|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:22.7361|lP.y:112.0969|lP.z:-12.7106|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:20.1761|lP.y:109.5369|lP.z:-10.1506|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:20.1761|lP.y:112.0969|lP.z:-10.1506|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:17.6161|lP.y:112.0969|lP.z:-10.1506|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:17.6161|lP.y:109.5369|lP.z:-10.1506|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:20.1761|lP.y:112.0969|lP.z:-17.8306|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:20.1761|lP.y:109.5369|lP.z:-17.8306|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:17.6161|lP.y:112.0969|lP.z:-17.8306|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:18|lP.x:17.6161|lP.y:109.5369|lP.z:-17.8306|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:112.0969|lP.z:-7.5906|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-10.1506|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-10.1506|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-12.7106|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-12.7106|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-15.2706|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-15.2706|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:106.9769|lP.z:-20.3906|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:9.9361|lP.y:109.5369|lP.z:-20.3906|lR.x:-.5|lR.y:.5|lR.z:.5|lR.w:.5|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:106.9769|lP.z:-17.8306|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:109.5369|lP.z:-17.8306|lR.x:-.7071|lR.y:0|lR.z:0|lR.w:.70711|lS.x:1|lS.y:1|lS.z:1
constIndex:282|lP.x:7.3761|lP.y:112.0969|lP.z:-10.1506|lR.x:0|lR.y:.70711|lR.z:.70711|lR.w:0|lS.x:1|lS.y:1|lS.z:1
